Fri Aug 16 19:12:03 +0000 2013 	 RT @AJInsight: Were Not No. 1! Were Not No. 1! Some sobering stats in here about US (education, sanitation) My Morning Must Read. http:// 	  
Fri Sep 07 15:53:45 +0000 2012 	 Hedge fund chief has a couple of words on the US education system http://t.co/Azf8V0s2rU 	 #Princeton, #NJ 
Wed Sep 22 16:03:44 +0000 2010 	 Graduate degree in ur future? Join us! Education fair 4/16 downtown Cols. to learn about @ohiou Executive/Weekend MPA http://t.co/MgOanxVJ2W 	 Athens, Ohio 
Wed Mar 12 14:23:58 +0000 2008 	 RT @AJInsight: Were Not No. 1! Were Not No. 1! Some sobering stats in here about US (education, sanitation) My Morning Must Read. http:// 	 Atlanta, GA 
Wed Aug 29 22:54:25 +0000 2012 	 RT @AJInsight: Were Not No. 1! Were Not No. 1! Some sobering stats in here about US (education, sanitation) My Morning Must Read. http:// 	 NYC/NJ/CONN...the world! 
Tue Dec 18 23:22:02 +0000 2012 	 @DBS4470 @AdamMurray88 Heartily agree ,my father was violently ejected from H&amp;W and instilled in us education was only way to employment 	  
Wed Mar 23 15:36:02 +0000 2011 	 #Language learning: what motivates us? #education #loveyourlanguage http://t.co/UlfkHFODdi 	  
Tue Jul 06 17:35:11 +0000 2010 	 Were Not No. 1! Were Not No. 1! Some sobering stats in here about US (education, sanitation) My Morning Must Read. http://t.co/OarYN6mCFp 	 New York 
Wed Dec 22 00:21:36 +0000 2010 	 @Nedunaija the idea is to deny us education, because they know if we are well educated we will fight dem we will fight for our right. 	 Earth 
Wed Jul 01 17:16:55 +0000 2009 	 Writing :: Writer AND researcher wanted on a "how-to" book related to the US Education System - oDesk: This pr... http://t.co/e8J34y8ocX 	 Philippines 
Sun Jul 31 18:20:27 +0000 2011 	 #odesk: Writer AND researcher wanted on a "how-to" book related to the US Education System - oDesk http://t.co/iyn8qajrpG 	  
Sat Feb 23 18:14:45 +0000 2013 	 Acha, or kuch? @OrganicMooli: India is way better than us, education, research, economy and what not! @AhsanAadil 	  
Wed Feb 18 12:39:08 +0000 2009 	 Who says US education is world class? "@GoogleFacts: At Georgetown University, you are able to study 'Star Trek'" 	 London, UK 
Sun Jun 19 05:56:01 +0000 2011 	 India is way better than us, education, research, economy and what not! @AhsanAadil 	 Patagonia 
Wed Mar 25 00:19:38 +0000 2009 	 Walton Family Foundation (Walmart) Puts $164 Million into Promoting the Privatization of US Education @DianeRavitch  http://t.co/BDhsa4wmq8 	 Christchurch, NZ. 
Thu Mar 07 02:33:38 +0000 2013 	 I unfollow people for being stupid because stupid people are my biggest pet peeve. Clearly the US education has failed most of y'all. 	 Hakuna Matata 
Sun Jan 06 04:36:23 +0000 2013 	 I don't think the US implements enough skills training into its educational curriculum. #us #education 	  
Wed Jun 19 06:01:43 +0000 2013 	 @Dan_Parmeggiani I've always said that if I were President,  Dr.  Wayne Dyer would be  US Education Secretary. :-) 	 Ohio 
Thu Feb 12 23:18:19 +0000 2009 	 You inspire me @DianeRavitch Your  interview @BillMoyersHQ was exceptional.  TY for speaking for US education. @Progress2day @cantata21 	 Grand tier, center 
